Temperature,Humidity,Moisture,Disease
38.8,23.8,11.2,Blight
31.4,74.4,50.6,Powdery Mildew
29.1,78.2,45.8,Powdery Mildew
32.4,62.3,22.0,Leaf Spot
31.5,75.1,56.4,Powdery Mildew
29.5,64.8,52.0,Powdery Mildew
16.8,82.6,49.0,Wilt
27.4,65.6,50.1,Powdery Mildew
31.3,66.7,25.9,Leaf Spot
22.2,43.1,17.3,No Disease
29.8,74.5,50.4,Powdery Mildew
30.2,66.4,45.9,Powdery Mildew
37.5,34.4,17.2,Blight
26.4,71.1,48.2,Powdery Mildew
30.4,54.7,28.2,Leaf Spot
30.0,75.3,48.1,Powdery Mildew
18.9,88.7,34.7,Wilt
24.0,47.0,19.5,No Disease
31.2,56.1,23.5,Leaf Spot
20.8,56.5,32.4,Rust
39.3,28.8,16.3,Blight
16.9,82.0,34.5,Wilt
31.1,63.8,20.1,Leaf Spot
27.4,41.8,22.5,Rust
23.4,48.8,23.8,Rust
30.4,55.0,20.5,Leaf Spot
21.6,49.1,17.0,No Disease
25.4,70.0,43.9,Powdery Mildew
29.8,64.5,56.0,Powdery Mildew
16.9,72.5,39.5,Wilt
34.4,76.8,52.7,Powdery Mildew
38.2,33.7,12.5,Blight
32.0,67.5,28.0,Leaf Spot
18.5,74.3,42.8,Wilt
37.5,26.2,16.3,Blight
22.0,56.9,27.4,Rust
24.1,58.4,23.5,Rust
36.1,31.0,10.1,Blight
36.3,31.3,17.8,Blight
33.6,67.1,24.3,Leaf Spot
33.0,74.1,59.5,Powdery Mildew
23.6,43.8,23.5,Rust
15.1,89.4,42.1,Wilt
33.3,71.6,50.2,Powdery Mildew
24.9,41.9,13.0,No Disease
15.2,74.4,44.1,Wilt
27.6,58.6,33.9,Rust
38.8,21.3,10.2,Blight
22.0,57.2,28.2,Rust
30.9,64.0,49.2,Powdery Mildew
23.6,46.6,10.9,No Disease
15.6,76.5,33.4,Wilt
36.4,22.3,17.6,Blight
22.2,49.2,17.0,No Disease
36.5,34.8,10.8,Blight
28.0,44.5,38.1,Rust
